,t,ff
0,0.002511325028312541,0.0
1,0.003761325028312541,0.0
2,0.005011325028312541,0.0
3,0.006261325028312541,0.0
4,0.007511325028312541,0.0
5,0.008761325028312542,0.0
6,0.010011325028312541,0.0
7,0.011261325028312542,0.0
8,0.012511325028312542,0.0
9,0.013761325028312541,0.0
10,0.015011325028312542,0.0
11,0.01626132502831254,0.0
12,0.01751132502831254,0.0
13,0.018761325028312542,0.0
14,0.020011325028312543,0.0
15,0.02126132502831254,0.0
16,0.022511325028312542,0.0
17,0.023761325028312543,0.0
18,0.02501132502831254,0.0
19,0.026261325028312542,0.0
20,0.027511325028312543,0.0
21,0.02876132502831254,0.0
22,0.03001132502831254,0.0
23,0.03126132502831254,0.0
24,0.03251132502831254,0.0
25,0.03376132502831254,0.0
26,0.03501132502831254,0.0
27,0.036261325028312544,0.0
28,0.037511325028312545,0.0
29,0.03876132502831254,0.0
30,0.04001132502831254,0.0
31,0.04126132502831254,0.0
32,0.04251132502831254,0.0
33,0.043761325028312544,0.0
34,0.045011325028312545,0.0
35,0.046261325028312546,0.0
36,0.04751132502831254,0.0
37,0.04876132502831254,0.0
38,0.05001132502831254,0.0
39,0.05126132502831254,0.0
40,0.052511325028312544,0.0
41,0.053761325028312545,0.0
42,0.05501132502831254,0.0
43,0.05626132502831254,0.0
44,0.05751132502831254,0.0
45,0.05876132502831254,0.0
46,0.060011325028312544,0.0
47,0.061261325028312545,0.0
48,0.06251132502831254,0.0
49,0.06376132502831254,0.0
50,0.06501132502831254,0.0
51,0.06626132502831254,0.0
52,0.06751132502831254,0.0
53,0.06876132502831254,0.0
54,0.07001132502831255,0.0
55,0.07126132502831255,0.0
56,0.07251132502831255,0.0
57,0.07376132502831255,0.0
58,0.07501132502831254,0.0
59,0.07626132502831254,0.0
60,0.07751132502831254,0.0
61,0.07876132502831254,0.0
62,0.08001132502831254,0.0
63,0.08126132502831254,0.0
64,0.08251132502831254,0.0
65,0.08376132502831254,0.0
66,0.08501132502831255,0.0
67,0.08626132502831255,0.0
68,0.08751132502831255,0.0
69,0.08876132502831255,0.0
70,0.09001132502831255,0.0
71,0.09126132502831254,0.0
72,0.09251132502831254,0.0
73,0.09376132502831254,0.0
74,0.09501132502831254,0.0
75,0.09626132502831254,0.0
76,0.09751132502831254,0.0
77,0.09876132502831254,0.0
78,0.10001132502831254,0.0
79,0.10126132502831255,0.0
80,0.10251132502831255,0.0
81,0.10376132502831255,0.0
82,0.10501132502831255,0.0
83,0.10626132502831255,0.0
84,0.10751132502831254,0.0
85,0.10876132502831254,0.0
86,0.11001132502831254,0.0
87,0.11126132502831254,0.0
88,0.11251132502831254,0.0
89,0.11376132502831254,0.0
90,0.11501132502831254,0.0
91,0.11626132502831255,0.0
92,0.11751132502831255,0.0
93,0.11876132502831255,0.0
94,0.12001132502831255,0.0
95,0.12126132502831255,0.0
96,0.12251132502831254,0.0
97,0.12376132502831254,0.0
98,0.12501132502831253,0.0
99,0.12626132502831253,0.0
100,0.12751132502831253,0.0
101,0.12876132502831253,0.0
102,0.13001132502831253,0.0
103,0.13126132502831253,0.0
104,0.13251132502831253,0.0
105,0.13376132502831253,0.0
106,0.13501132502831253,0.0
107,0.13626132502831254,0.0
108,0.13751132502831254,0.0
109,0.13876132502831254,0.0
110,0.14001132502831254,0.0
111,0.14126132502831254,0.0
112,0.14251132502831254,0.0
113,0.14376132502831254,0.0
114,0.14501132502831254,0.0
115,0.14626132502831254,0.0
116,0.14751132502831252,0.0
117,0.14876132502831252,0.0
118,0.15001132502831252,0.0
119,0.15126132502831252,0.0
120,0.15251132502831252,0.0
121,0.15376132502831252,0.0
122,0.15501132502831252,0.0
123,0.15626132502831253,0.0
124,0.15751132502831253,0.0
125,0.15876132502831253,0.0
126,0.16001132502831253,0.0
127,0.16126132502831253,0.0
128,0.16251132502831253,0.0
129,0.16376132502831253,0.0
130,0.16501132502831253,0.0
131,0.16626132502831253,0.0
132,0.16751132502831254,0.0
133,0.16876132502831254,0.0
134,0.17001132502831254,0.0
135,0.17126132502831254,0.0
136,0.17251132502831254,0.0
137,0.17376132502831254,0.0
138,0.17501132502831254,0.0
139,0.17626132502831254,0.0
140,0.17751132502831254,0.0
141,0.17876132502831252,0.0
142,0.18001132502831252,0.0
143,0.18126132502831252,0.0
144,0.18251132502831252,0.0
145,0.18376132502831252,0.0
146,0.18501132502831252,0.0
147,0.18626132502831252,0.0
148,0.18751132502831253,0.0
149,0.18876132502831253,0.0
150,0.19001132502831253,0.0
151,0.19126132502831253,0.0
152,0.19251132502831253,0.0
153,0.19376132502831253,0.0
154,0.19501132502831253,0.0
155,0.19626132502831253,0.0
156,0.19751132502831253,0.0
157,0.19876132502831254,0.0
158,0.20001132502831254,0.0
159,0.20126132502831254,0.0
160,0.20251132502831254,0.0
161,0.20376132502831254,0.0
162,0.20501132502831254,0.0
163,0.20626132502831254,0.0
164,0.20751132502831254,0.0
165,0.20876132502831254,0.0
166,0.21001132502831255,0.0
167,0.21126132502831252,0.0
168,0.21251132502831252,0.0
169,0.21376132502831252,0.0
170,0.21501132502831252,0.0
171,0.21626132502831252,0.0
172,0.21751132502831252,0.0
173,0.21876132502831253,0.0
174,0.22001132502831253,0.0
175,0.22126132502831253,0.0
176,0.22251132502831253,0.0
177,0.22376132502831253,0.0
178,0.22501132502831253,0.0
179,0.22626132502831253,0.0
180,0.22751132502831253,0.0
181,0.22876132502831253,0.0
182,0.23001132502831254,0.0
183,0.23126132502831254,0.0
184,0.23251132502831254,0.0
185,0.23376132502831254,0.0
