Af,wf,fbeat,f1,f2,fase,dfase,amp,erramp,gamma,a,beta,alfa
0.0,140,213.0,1418.0,1632.0,-345.35670962274486,232.56189373918363,1.8504672897196315,700.9694149882899,20000,0.003,-0.12,-0.12
0.0,141,213.0,1418.0,1632.0,-340.64439179961164,229.42229348863577,1.8504672897196315,700.9694149882899,20000,0.003,-0.12,-0.12
0.0,142,213.0,1418.0,1632.0,-335.93207397647836,226.28269323808786,1.8504672897196315,700.9694149882899,20000,0.003,-0.12,-0.12
0.0,143,213.0,1418.0,1632.0,-331.2197561533452,223.14309298754,1.8504672897196315,700.9694149882899,20000,0.003,-0.12,-0.12
0.0,144,213.0,1418.0,1632.0,-326.507438330212,220.00349273699214,1.8504672897196315,700.9694149882899,20000,0.003,-0.12,-0.12
0.0,145,213.0,1418.0,1632.0,-321.7951205070788,216.86389248644429,1.8504672897196315,700.9694149882899,20000,0.003,-0.12,-0.12
0.0,146,213.0,1418.0,1632.0,-317.0828026839457,213.72429223589643,1.8504672897196315,700.9694149882899,20000,0.003,-0.12,-0.12
0.0,147,213.0,1418.0,1632.0,-312.3704848608124,210.5846919853485,1.8504672897196315,700.9694149882899,20000,0.003,-0.12,-0.12
0.0,148,213.0,1418.0,1632.0,-307.6581670376793,207.44509173480066,1.8504672897196315,700.9694149882899,20000,0.003,-0.12,-0.12
0.0,149,213.0,1418.0,1632.0,-302.94584921454606,204.30549148425268,1.8504672897196315,700.9694149882899,20000,0.003,-0.12,-0.12
0.0,150,213.0,1418.0,1632.0,-298.2335313914129,201.16589123370483,1.8504672897196315,700.9694149882899,20000,0.003,-0.12,-0.12
0.0,151,213.0,1418.0,1632.0,-293.52121356827973,198.02629098315697,1.8504672897196315,700.9694149882899,20000,0.003,-0.12,-0.12
0.0,152,213.0,1418.0,1632.0,-288.8088957451465,194.8866907326091,1.8504672897196315,700.9694149882899,20000,0.003,-0.12,-0.12
0.0,153,213.0,1418.0,1632.0,-284.0965779220133,191.7470904820612,1.8504672897196315,700.9694149882899,20000,0.003,-0.12,-0.12
