Af,wf,fbeat,f1,f2,fase,dfase
0.0,140.0,175.0,1469.0,1644.0,-167.02402139978832,113.97221858576552
0.0,141.0,175.0,1469.0,1644.0,-162.31170357665513,110.83375685124156
0.0,142.0,175.0,1469.0,1644.0,-157.5993857535219,107.6952951167176
0.0,143.0,175.0,1469.0,1644.0,-152.8870679303887,104.55683338219364
0.0,144.0,175.0,1469.0,1644.0,-148.17475010725553,101.4183716476698
0.0,145.0,175.0,1469.0,1644.0,-143.46243228412234,98.27990991314584
0.0,146.0,175.0,1469.0,1644.0,-138.75011446098918,95.14144817862194
0.0,147.0,175.0,1469.0,1644.0,-134.0377966378559,92.00298644409793
0.0,148.0,175.0,1469.0,1644.0,-129.32547881472274,88.86452470957408
0.0,149.0,175.0,1469.0,1644.0,-124.61316099158955,85.72606297505013
0.0,150.0,175.0,1469.0,1644.0,-119.90084316845638,82.58760124052623
0.0,151.0,175.0,1469.0,1644.0,-115.18852534532321,79.44913950600227
0.0,152.0,175.0,1469.0,1644.0,-110.47620752219004,76.31067777147842
0.0,153.0,175.0,1469.0,1644.0,-105.76388969905676,73.17307257633729
0.0,154.0,175.0,1469.0,1644.0,-101.0515718759236,70.03859564789718
0.0,155.0,175.0,1469.0,1644.0,-96.33925405279042,66.90411871945707
0.0,156.0,175.0,1469.0,1644.0,-91.62693622965725,63.769641791016966
0.0,157.0,175.0,1469.0,1644.0,-86.91461840652406,60.63516486257697
0.0,158.0,175.0,1469.0,1644.0,-82.2023005833908,57.500687934136806
0.0,159.0,175.0,1469.0,1644.0,-77.48998276025763,54.3662110056967
0.0,160.0,175.0,1469.0,1644.0,-72.77766493712446,51.23173407725653
0.0,161.0,175.0,1469.0,1644.0,-68.06534711399127,48.09725714881654
0.0,162.0,175.0,1469.0,1644.0,-63.35302929085809,44.96278022037643
0.0,163.0,175.0,1469.0,1644.0,-58.64071146772492,41.82830329193632
0.0,164.0,175.0,1469.0,1644.0,-53.92839364459175,38.693826363496214
0.0,165.0,175.0,1469.0,1644.0,-49.21607582145857,35.559349435056106
0.0,166.0,175.0,1469.0,1644.0,-44.50375799832522,32.424872506615884
0.0,167.0,175.0,1469.0,1644.0,-39.79144017519204,29.290395578176003
0.0,168.0,175.0,1469.0,1644.0,-35.07912235205887,26.155918649735895
0.0,169.0,175.0,1469.0,1644.0,-30.36680452892569,23.021441721295787
0.0,170.0,175.0,1469.0,1644.0,-25.654486705792515,19.88696479285568
0.0,171.0,175.0,1469.0,1644.0,-20.942168882659338,16.75248786441557
0.0,172.0,175.0,1469.0,1644.0,-16.229851059526162,13.618010935975349
0.0,173.0,175.0,1469.0,1644.0,-11.517533236392982,10.493745253608495
0.0,174.0,175.0,1469.0,1644.0,-6.8052154132598055,7.373642089970758
0.0,175.0,175.0,1469.0,1644.0,-2.0928975901266296,4.253538926333022
0.0,176.0,175.0,1469.0,1644.0,2.6194202330065472,4.483386396994092
0.0,177.0,175.0,1469.0,1644.0,7.331738056139894,7.575750424531293
0.0,178.0,175.0,1469.0,1644.0,12.04405587927307,10.673225582193027
0.0,179.0,175.0,1469.0,1644.0,16.75637370240625,13.77070073985476
0.0,180.0,175.0,1469.0,1644.0,21.468691525539413,16.875488307243813
0.0,181.0,175.0,1469.0,1644.0,26.1810093486726,19.987337229708032
0.0,182.0,175.0,1469.0,1644.0,30.89332717180578,23.099186152172024
0.0,183.0,175.0,1469.0,1644.0,35.60564499493895,26.211035074636015
