alfa,beta,ff,amp,f2
-0.3,-0.25,3381.123031271399,39699.788057658276,0.00037385317782188195
-0.3,-0.24595959595959596,3370.6196581196577,39688.64888619997,6.087876284675681e-05
-0.3,-0.24191919191919192,3360.428626100268,39677.56472560488,0.0003604599075440296
-0.3,-0.23787878787878788,3349.4242284661436,39666.53967700846,0.0005922149510820054
-0.3,-0.23383838383838385,3339.1083391083394,39655.587809637225,0.0007716363735325587
-0.3,-0.2297979797979798,3327.9734321902997,39644.683421978574,0.0014882268945508553
-0.3,-0.22575757575757577,3317.530405143698,39633.85910105753,0.003408404047291587
-0.3,-0.2217171717171717,3306.001091107474,39623.104601966435,0.0027191838440010037
-0.3,-0.2176767676767677,3295.0125078173864,39612.41075998772,0.001704482874409037
-0.3,-0.21363636363636362,3283.572492746805,39601.793213340075,0.002524174166560737
-0.3,-0.2095959595959596,3272.062293534687,39591.23730817712,0.001793064081029495
-0.3,-0.20555555555555555,3261.282051282052,39580.76899223933,0.0006440044511338482
-0.3,-0.2015151515151515,3250.1028806584372,39570.36813119684,0.0003306721627555536
-0.3,-0.19747474747474747,3238.854489164087,39560.02898147017,0.0007770784072373602
-0.3,-0.19343434343434343,3227.5362318840585,39549.806348617516,0.0025788249235844346
-0.3,-0.1893939393939394,3215.989583333334,39539.64533697025,0.0026091205675918684
-0.3,-0.18535353535353535,3204.4932079414843,39529.567402676985,0.0022333804952950095
-0.3,-0.18131313131313131,3192.789968652038,39519.53073644554,0.0012853587093317293
-0.3,-0.17727272727272728,3180.9148264984233,39509.663283466856,0.00011173170157978734
-0.3,-0.17323232323232324,3168.4599156118143,39499.84667931066,0.0008261789442864353
-0.3,-0.1691919191919192,3155.9447983014866,39490.112099350124,0.003794761620256237
-0.3,-0.16515151515151516,3144.100473724799,39480.48586534438,0.0017382478031514347
-0.3,-0.1611111111111111,3132.2446949602117,39470.94684482168,0.0016287219842469507
-0.3,-0.15707070707070708,3120.3126732453707,39461.50476991944,0.0003348572813701979
-0.3,-0.15303030303030302,3107.953281423804,39452.16104847085,0.0012101644835520089
-0.3,-0.148989898989899,3095.6896551724135,39420.27672777246,0.002187623786592996
-0.3,-0.14494949494949494,3083.129282264405,39433.77360631176,0.002400131062271493
-0.3,-0.14090909090909093,3070.486815415821,39424.72358470809,0.0003672426445827129
-0.3,-0.13686868686868686,3057.4053137365736,39415.831617125325,0.002019949756780052
-0.3,-0.13282828282828282,3043.8886992147486,39407.03389121298,0.0017026022364792731
