Column1;ave;file;tipo;inicio;duracion;frecuencia;inicio_s;duracion_s
56;BVNaNa;vs_BVNaNa_2018_11_21-09.58.15.wav;call;1.804371461;0.126817667;174.5059289;1.825;0.126
57;BVNaNa;vs_BVNaNa_2018_11_21-09.58.15.wav;call;5.506342016;0.130600227;175.8964143;5.532;0.126
58;BVNaNa;vs_BVNaNa_2018_11_21-09.58.15.wav;call;5.934518686;0.110373726;172.4609375;5.950;0.121
59;BVNaNa;vs_BVNaNa_2018_11_21-09.58.15.wav;burst;6.464348811;0.10403171;175.1984127;6.482;0.118
60;BVNaNa;vs_BVNaNa_2018_11_21-09.59.11.wav;call;1.943420159;0.154133635;179.4715447;1.99;0.123
61;BVNaNa;vs_BVNaNa_2018_11_21-09.59.11.wav;call;4.598822197;0.117757644;178.7449393;4.62;0.131
62;BVNaNa;vs_BVNaNa_2018_11_21-09.59.11.wav;burst;7.230781427;0.109694224;183.9583333;7.252;0.125
63;BVNaNa;vs_BVNaNa_2018_11_22-10.31.44.wav;call;1.141608154;0.13619479;176.6;1.174;0.135
65;BVNaNa;vs_BVNaNa_2018_11_22-10.31.44.wav;call;9.441744054;0.125753114;175.8964143;9.465;0.126
66;BVNaNa;vs_BVNaNa_2018_11_22-10.31.44.wav;call;10.01712344;0.111075878;173.1372549;10.035;0.12
67;BVNaNa;vs_BVNaNa_2018_11_22-10.31.44.wav;call;12.07216308;0.142;174.5059289;12.089;0.121
68;BVNaNa;vs_BVNaNa_2018_11_22-10.31.44.wav;call;12.41712344;0.15180068;174.5059289;12.432;0.143
69;BVNaNa;vs_BVNaNa_2018_11_22-10.31.44.wav;call;12.78824462;0.135107588;171.124031;12.799;0.126
70;BVNaNa;vs_BVNaNa_2018_11_22-10.32.05.wav;call;1.642332956;0.127497169;177.3092369;1.658;0.131
71;BVNaNa;vs_BVNaNa_2018_11_22-10.32.05.wav;call;2.035;0.125;171.7898833;2.058;0.122
72;BVNaNa;vs_BVNaNa_2018_11_22-10.32.05.wav;call;2.391687429;0.134949037;174.5059289;2.415;0.139
73;BVNaNa;vs_BVNaNa_2018_11_22-10.32.05.wav;call;2.827655719;0.097531144;165.3558052;2.847;0.121
74;BVNaNa;vs_BVNaNa_2018_11_22-10.32.05.wav;call;3.290781427;0.106228766;171.7898833;3.302;0.121
75;BVNaNa;vs_BVNaNa_2018_11_22-10.32.05.wav;call;3.889558324;0.112457531;169.1570881;3.894;0.137
76;BVNaNa;vs_BVNaNa_2018_11_14-08.26.50.wav;call;3.478958097;0.110668177;183.1950207;3.492;0.119
77;BVRoRo;vs_BVRoRo_2019_01_20-19.35.56.wav;burst;3.325345413;0.19603624;173.1372549;3.339;0.201
80;BVRoRo;vs_BVRoRo_2019_01_20-19.42.10.wav;burst;1.786772367;0.213907135;171.124031;1.8;0.215
82;BVRoRo;vs_BVRoRo_2019_01_21-07.40.36.wav;burst;1.360385051;0.216964892;168.5114504;1.375;0.204
85;BVRoRo;vs_BVRoRo_2019_01_22-10.03.33.wav;burst;1.254813137;0.201177803;171.124031;1.266;0.2
86;BVRoRo;vs_BVRoRo_2019_01_22-10.03.33.wav;burst;1.998255946;0.145186863;161.7216117;2.004;0.154
88;BVRoRo;vs_BVRoRo_2019_01_22-10.55.09.wav;burst;1.315402039;0.210305776;170.4633205;1.326;0.212
90;BVRoRo;vs_BVRoRo_2019_01_22-11.43.03.wav;burst;1.966885617;0.122197055;177.3092369;1.975;0.146
91;BVRoRo;vs_BVRoRo_2019_01_24-11.45.49.wav;burst;2.350147225;0.194926387;165.9774436;2.357;0.208
