alfa,beta,ff,amp,f2
-0.3,-0.25,2704.708093950658,31771.726777762247,0.002281121761397225
-0.3,-0.24595959595959596,2696.1011702849387,31762.79273047515,0.004004372519605905
-0.3,-0.24191919191919192,2687.374915196743,31753.88585426003,0.0016570959679291439
-0.3,-0.23787878787878788,2678.983656792645,31745.04269519161,0.0007444455134255907
-0.3,-0.23383838383838385,2670.06754855052,31736.24594127298,1.4880651605273487e-05
-0.3,-0.2297979797979798,2661.4973262032086,31727.49565768687,0.0008238737417722036
-0.3,-0.22575757575757577,2653.074866310161,31715.296524455625,0.0032622114764522853
-0.3,-0.2217171717171717,2644.3321607938024,31710.16660866476,0.0023479045497600782
-0.3,-0.2176767676767677,2635.522717067396,31701.579072050787,0.0031824404464720984
-0.3,-0.21363636363636362,2626.8216516308116,31693.037095573574,0.004239283827731504
-0.3,-0.2095959595959596,2617.911365173028,31684.586943580864,0.001369148766532542
-0.3,-0.20555555555555555,2608.630193336076,31676.17695919804,0.0008986180272204402
-0.3,-0.2015151515151515,2599.277352218529,31667.37260085734,0.0005211033880637823
-0.3,-0.19747474747474747,2590.0957592339264,31659.5426541419,0.00010018360797368402
-0.3,-0.19343434343434343,2581.1398489356834,31651.118782019672,0.0008493816920234939
-0.3,-0.1893939393939394,2572.1995880064096,31643.16290165393,0.001639128084818787
-0.3,-0.18535353535353535,2563.0173010380627,31635.071423641777,0.0031345324202597816
-0.3,-0.18131313131313131,2553.5572024085222,31627.048343346443,0.0031330764365974867
-0.3,-0.17727272727272728,2544.0223203906066,31619.0913880706,0.0025132892659893258
-0.3,-0.17323232323232324,2534.4117647058824,31611.034824721406,0.002140471576639122
-0.3,-0.1691919191919192,2524.724630888212,31603.40876175154,0.0023097917161074674
-0.3,-0.16515151515151516,2514.96,31595.674548198338,0.00293178743724178
-0.3,-0.1611111111111111,2505.381526104418,31587.995041371218,0.0036226028377214356
-0.3,-0.15707070707070708,2495.7258064516127,31580.34445297598,0.0040241429862242694
-0.3,-0.15303030303030302,2485.991902834008,31572.93613839753,0.004319210711321813
-0.3,-0.148989898989899,2475.8943089430895,31565.530213643164,0.004416820608789208
-0.3,-0.14494949494949494,2465.714285714286,31558.189870841703,0.004365820852821691
-0.3,-0.14090909090909093,2455.1639344262294,31550.95223840531,0.00410366943962535
-0.3,-0.13686868686868686,2445.0950950950955,31543.795231286196,0.007958706431917744
-0.3,-0.13282828282828282,2434.95085995086,31536.581293273543,0.002893348789227969
-0.3,-0.12878787878787878,2424.7224402826064,31529.756342112734,0.002263529843528009
-0.3,-0.12474747474747475,2414.4087837837837,31522.87837785884,0.00211306439187425
-0.3,-0.12070707070707071,2403.4547099400656,31516.095836178196,0.002583277172983918
-0.3,-0.11666666666666667,2392.68680445151,31509.415835338048,0.0032222931181810728
