Af,wf,fbeat,f1,f2,fase,dfase,amp,erramp,gamma,a,beta,alfa
0.0,140,221.0,1400.0,1621.0,-381.3803238761231,256.1729710442936,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,141,221.0,1400.0,1621.0,-376.66800605298994,253.0392056883685,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,142,221.0,1400.0,1621.0,-371.95568822985666,249.90544033244333,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,143,221.0,1400.0,1621.0,-367.2433704067235,246.77167497651823,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,144,221.0,1400.0,1621.0,-362.53105258359034,243.63790962059312,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,145,221.0,1400.0,1621.0,-357.8187347604571,240.504144264668,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,146,221.0,1400.0,1621.0,-353.106416937324,237.3703789087429,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,147,221.0,1400.0,1621.0,-348.3940991141907,234.2372297956224,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,148,221.0,1400.0,1621.0,-343.6817812910576,231.10773387478707,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,149,221.0,1400.0,1621.0,-338.96946346792436,227.97823795395175,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,150,221.0,1400.0,1621.0,-334.2571456447912,224.84874203311642,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,151,221.0,1400.0,1621.0,-329.54482782165803,221.7192461122812,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,152,221.0,1400.0,1621.0,-324.8325099985248,218.5897501914459,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,153,221.0,1400.0,1621.0,-320.12019217539154,215.46025427061045,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,154,221.0,1400.0,1621.0,-315.4078743522584,212.33075834977512,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,155,221.0,1400.0,1621.0,-310.69555652912527,209.2012624289399,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,156,221.0,1400.0,1621.0,-305.98323870599205,206.0717665081046,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,157,221.0,1400.0,1621.0,-301.27092088285883,202.94227058726926,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,158,221.0,1400.0,1621.0,-296.5586030597256,199.81277466643388,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,159,221.0,1400.0,1621.0,-291.84628523659245,196.68327874559856,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,160,221.0,1400.0,1621.0,-287.13396741345923,193.55378282476335,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,161,221.0,1400.0,1621.0,-282.42164959032607,190.42428690392802,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,162,221.0,1400.0,1621.0,-277.7093317671929,187.2947909830927,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,163,221.0,1400.0,1621.0,-272.9970139440597,184.16529506225731,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,164,221.0,1400.0,1621.0,-268.2846961209265,181.0357991414221,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,165,221.0,1400.0,1621.0,-263.57237829779336,177.90630322058678,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,166,221.0,1400.0,1621.0,-258.86006047466,174.77680729975134,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,167,221.0,1400.0,1621.0,-254.14774265152687,171.64731137891602,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,168,221.0,1400.0,1621.0,-249.43542482839368,168.5178154580807,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,169,221.0,1400.0,1621.0,-244.7231070052605,165.38831953724537,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,170,221.0,1400.0,1621.0,-240.01078918212733,162.25882361641004,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,171,221.0,1400.0,1621.0,-235.29847135899414,159.12932769557494,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,172,221.0,1400.0,1621.0,-230.58615353586094,155.99983177473962,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,173,221.0,1400.0,1621.0,-225.8738357127278,152.8703358539043,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,174,221.0,1400.0,1621.0,-221.16151788959462,149.74083993306897,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,175,221.0,1400.0,1621.0,-216.4492000664614,146.61134401223364,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,176,221.0,1400.0,1621.0,-211.73688224332827,143.48184809139832,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,177,221.0,1400.0,1621.0,-207.0245644201949,140.35235217056288,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,178,221.0,1400.0,1621.0,-202.3122465970617,137.22285624972756,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
